1258 1418 226 301
1251 1420 243 300
1252 1417 243 300
1256 1416 244 301
1250 1418 242 298
1258 1422 240 296
1263 1418 246 300
1257 1414 246 301
1261 1418 244 297
1235 1420 235 301
1254 1419 239 298
1251 1418 241 300
1244 1415 239 298
1252 1415 238 299
1258 1417 243 296
1255 1418 244 300
1251 1414 239 299
1250 1414 241 299
1254 1418 244 299
1256 1418 243 297
1258 1415 226 298
1253 1415 244 297
1251 1416 242 296
1241 1415 241 296
1252 1417 244 298
1253 1417 237 296
1256 1416 243 297
1258 1420 242 297
1247 1418 242 298
1244 1416 241 295
1259 1419 242 297
1255 1420 240 298
1253 1415 240 299
1258 1418 237 295
1255 1419 240 299
1224 1421 241 301
1252 1418 240 296
1246 1416 238 296
1248 1414 244 301
1240 1414 244 301
1259 1415 247 300
1249 1415 233 296
1253 1416 242 295
1251 1419 242 296
1262 1416 243 297
1251 1419 239 296
1251 1417 239 295
1254 1418 241 297
1214 1420 228 299
1256 1422 243 296
1249 1419 236 295
1237 1417 236 296
1247 1416 235 297
1248 1415 235 299
1248 1417 241 297
1252 1417 237 298
1247 1418 242 297
1252 1416 244 298
1255 1420 243 296
1241 1417 236 297
1245 1422 239 296
1252 1415 239 299
1256 1419 240 298
1259 1420 242 298
1251 1419 243 299
1251 1419 243 299
1253 1414 239 298
1255 1416 243 296
1257 1418 243 298
1265 1419 240 297
1257 1419 243 297
1255 1416 243 299
1263 1418 246 299
1252 1415 237 296
1251 1419 243 298
1257 1421 241 297
1259 1413 241 299
1253 1418 236 297
1251 1413 243 296
1253 1418 239 295
1254 1417 245 296
1253 1421 237 295
1239 1414 234 295
1263 1418 248 299
1262 1420 236 297
1256 1417 241 296
1246 1414 237 299
1243 1417 232 296
1248 1413 240 296
1254 1415 239 296
1253 1415 239 295
1256 1422 241 295
1246 1418 238 297
1253 1417 243 296
1255 1419 243 296
1254 1419 239 295
1248 1420 239 295
1257 1420 238 294
1254 1415 232 294
1247 1419 235 295
1252 1416 242 294
1255 1418 244 296
1253 1416 243 296
1256 1418 237 296
1251 1415 242 299
1242 1418 243 295
1260 1415 225 297
1254 1416 245 299
1255 1417 243 297
1260 1416 234 297
1262 1419 233 296
1254 1418 235 297
1252 1416 239 295
