1333 1420 331 2099
1350 1416 332 2107
1303 1414 2111 329
1348 1418 329 2095
1372 1416 329 2095
1334 1415 329 2093
1348 1418 329 2099
1329 1419 328 2059
1305 1420 2106 329
1361 1421 329 2100
1315 1414 330 2093
1335 1416 329 2093
1302 1417 2107 329
1299 1415 2096 328
1330 1416 328 2093
1374 1415 331 2101
1305 1416 2103 329
1301 1418 2100 329
1322 1417 329 2093
1340 1414 330 2092
1310 1419 2099 329
1335 1418 328 2091
1326 1416 329 2087
1297 1416 2089 328
1303 1418 2090 327
1318 1417 327 2087
1323 1418 328 2090
1316 1416 2080 327
1346 1418 330 2092
1346 1413 329 2089
1328 1417 329 378
1396 1420 330 2083
1390 1415 328 2088
1332 1419 328 2086
1304 1417 2097 327
1317 1418 2093 327
1300 1414 2090 327
1301 1415 2087 327
1307 1418 2089 328
1371 1419 330 2086
1345 1417 280 1896
1441 1420 329 2095
1294 1416 2098 328
1315 1418 328 2084
1307 1414 2090 328
1327 1420 329 2083
1302 1419 2084 329
1364 1420 326 2082
1304 1418 2089 329
1332 1419 326 2087
1347 1419 329 2082
1353 1418 330 2087
1303 1420 2096 327
1346 1414 327 2086
1334 1418 328 2091
1357 1418 328 2091
1376 1418 327 393
1292 1417 2091 326
1311 1418 2092 326
1357 1416 329 2085
1345 1418 328 2091
1310 1419 2094 327
1310 1417 2100 327
1303 1417 2097 329
1298 1415 2095 329
1308 1420 2096 328
1350 1418 329 2086
1311 1418 2109 327
1296 1421 2091 327
1331 1418 330 2088
1383 1416 329 386
1325 1418 328 2086
1298 1421 1724 257
1303 1421 2095 328
1307 1416 2095 328
1303 1418 2098 329
1322 1418 328 2094
1295 1417 2097 328
1330 1415 329 2087
1301 1416 2096 327
1299 1416 2098 330
1309 1416 2061 322
1304 1418 2072 324
1341 1418 328 2091
1316 1414 328 2085
1313 1418 2092 327
1337 1419 327 2089
1302 1417 2102 329
1387 1418 328 381
1364 1414 311 1975
1330 1418 328 2088
1362 1412 249 1630
1289 1416 2095 328
1297 1418 2090 328
1310 1418 2085 327
1350 1420 329 2089
1328 1419 329 2086
1301 1419 2096 329
1332 1417 328 2087
1298 1415 2096 329
1370 1417 330 2090
1399 1415 329 382
1418 1417 328 2087
1304 1420 2096 328
1309 1421 2093 327
1302 1419 2094 328
1345 1421 329 2084
